product,screen_size,year,cpu,cpu_model,cpu_score,cpu_rank,ram,ram_rank,storage,storage_rank,storage_type,d_video_card,d_vc_model,keyMean
macbook,12,2015,m 1.2,M-5Y51,1523,1,8 gb,3,512 gb,5,ssd,n,,494
macbook,12,2015,m 1.1,M-5Y31,1972,2,8 gb,3,256 gb,3,ssd,n,,483
macbook,12,2015,m 1.3,M-5Y71,2002,2,8 gb,3,256 gb,3,ssd,n,,450
macbook,12,2015,m 1.3,M-5Y71,2002,2,8 gb,3,512 gb,5,ssd,n,,484
macbook,12,2016,m3 1.1,M3-6Y30,1027,1,8 gb,3,256 gb,3,ssd,n,,566
macbook,12,2016,m7 1.3,M7-6Y75,1303,1,8 gb,3,256 gb,3,ssd,n,,690
macbook,12,2016,m7 1.3,M7-6Y75,1303,1,8 gb,3,512 gb,5,ssd,n,,526
macbook,12,2016,m5 1.2,M5-6Y54,1409,1,8 gb,3,512 gb,5,ssd,n,,535
macbook,12,2017,m3 1.2,M3-7Y32,1468,1,8 gb,3,256 gb,3,ssd,n,,558
macbook,12,2017,i5 1.3,I5-7Y54,2757,4,8 gb,3,512 gb,5,ssd,n,,870
macbook air,11,2010,Core 1.6,SU9600,663,1,2 gb,1,128 gb,2,ssd,n,,310
macbook air,13,2010,Core 1.86,SL9400,672,1,2 gb,1,128 gb,2,ssd,n,,168
macbook air,13,2010,Core 1.86,SL9400,672,1,2 gb,1,256 gb,3,ssd,n,,205
macbook air,13,2010,Core 2.13,SL9600,898,1,2 gb,1,256 gb,3,ssd,n,,204
macbook air,11,2011,i5 1.6,I5-2467M,1607,1,2 gb,1,128 gb,2,ssd,n,,250
macbook air,11,2011,i5 1.6,I5-2467M,1607,1,4 gb,2,128 gb,2,ssd,n,,257
macbook air,11,2011,i5 1.6,I5-2467M,1607,1,2 gb,1,64 gb,1,ssd,n,,209
macbook air,11,2011,i5 1.6,I5-2467M,1607,1,2 gb,1,64 gb,1,ssd,n,,209
macbook air,11,2011,i7 1.8,I7-2677M,1802,2,4 gb,2,128 gb,2,ssd,n,,267
macbook air,13,2011,i5 1.7,I5-2557M,1607,1,4 gb,2,128 gb,2,ssd,n,,251
macbook air,13,2011,i5 1.7,I5-2557M,1607,1,4 gb,2,256 gb,3,ssd,n,,269
macbook air,13,2011,i7 1.8,I7-2677M,1802,2,4 gb,2,256 gb,3,ssd,n,,310
macbook air,11,2012,i5 1.7,I5-3317U,1966,2,4 gb,2,128 gb,2,ssd,n,,220
macbook air,11,2012,i5 1.7,I5-3317U,1966,2,4 gb,2,64 gb,1,ssd,n,,232
macbook air,13,2012,i5 1.8,I5-3427U,2355,3,4 gb,2,128 gb,2,ssd,n,,286
macbook air,13,2012,i5 1.8,I5-3427U,2355,3,4 gb,2,256 gb,3,ssd,n,,271
macbook air,11,2013,i5 1.3,I5-4250U,2319,3,4 gb,2,128 gb,2,ssd,n,,246
macbook air,11,2013,i5 1.3,I5-4250U,2319,3,4 gb,2,256 gb,3,ssd,n,,333
macbook air,13,2013,i5 1.3,I5-4250U,2319,3,4 gb,2,128 gb,2,ssd,n,,320
macbook air,13,2013,i5 1.3,I5-4250U,2319,3,4 gb,2,256 gb,3,ssd,n,,308
macbook air,11,2014,i5 1.4,I5-4260U,2497,4,4 gb,2,128 gb,2,ssd,n,,313
